roadId,from_node,to_node,from_node_lat,from_node_lon,to_node_lat,to_node_lon,length
6364,42448326,6177439749,40.759619,-73.9619593,40.7602403,-73.9615093,78.81046383792946
6365,42448326,371037281,40.759619,-73.9619593,40.7600363,-73.9629232,93.57854464077968
6366,42448329,42448326,40.758663,-73.959722,40.759619,-73.9619593,216.51035739770742
6367,42448329,42424672,40.758663,-73.959722,40.7593048,-73.9592537,81.54883165323506
6369,42448329,42454660,40.758663,-73.959722,40.758037,-73.960182,79.67338264236263
6370,42448338,42443613,40.7602692,-73.9716019,40.760902,-73.9711418,80.33868950258014
6371,42448338,596775907,40.7602692,-73.9716019,40.7603565,-73.9718087,19.954766414566407
6372,42448379,42443615,40.758954,-73.9684566,40.7595739,-73.9680063,78.68382254648706
6373,42448379,4862610026,40.758954,-73.9684566,40.7596307,-73.9700886,156.8191006296274
6374,42448390,42443618,40.7570079,-73.9638711,40.7576322,-73.9634155,79.32804793252404
6375,42448390,42442959,40.7570079,-73.9638711,40.7580217,-73.9662316,228.714773958493
6376,42448406,42440566,40.755889,-73.961219,40.756059,-73.961622,38.87993569269462
6377,42448430,42437755,40.7116012,-73.9942643,40.7123077,-73.9943569,78.9339223510358
6378,42448430,42448440,40.7116012,-73.9942643,40.7117597,-73.9924589,153.22997889285224
6379,42448440,42437472,40.7117597,-73.9924589,40.7109105,-73.9922223,97.02748463026583
6380,42448469,42459820,40.710952,-74.003624,40.7104485,-74.0039392,62.25820929697499
6381,42448469,42448483,40.710952,-74.003624,40.7108105,-74.0033934,25.00941723039359
6382,42448483,4158673495,40.7108105,-74.0033934,40.7106422,-74.0031167,29.905365726533383
6383,42448506,42431203,40.8019575,-73.9535654,40.8013253,-73.9540275,80.3618926954059
6384,42448506,2141026523,40.8019575,-73.9535654,40.8018826,-73.9533779,17.867266476558584
6385,42448549,1919595928,40.7281021,-74.0021007,40.7279861,-74.0021905,14.954685855880788
6386,42448549,4202908174,40.7281021,-74.0021007,40.7282488,-74.0023984,29.932796076163356
6387,42448552,1919595925,40.7258712,-73.9975736,40.7257539,-73.9976695,15.344163742171714
6388,42448552,42448554,40.7258712,-73.9975736,40.7262337,-73.9983091,73.95604015151679
6389,42448554,42433581,40.7262337,-73.9983091,40.7266087,-73.9990701,76.51590660971218
6390,42448558,5799117240,40.7270026,-73.9998695,40.7268876,-73.9999657,15.140969291943781
6391,42448558,1692433928,40.7270026,-73.9998695,40.7280695,-73.9989542,141.50875252401758
6392,42448558,42436788,40.7270026,-73.9998695,40.7273529,-74.0005803,71.47072608305213
6393,42448563,42436371,40.7286179,-74.0053112,40.7287662,-74.0070745,149.5753873985505
6394,42448563,42455200,40.7286179,-74.0053112,40.7278806,-74.0054267,82.54752907617362
6395,42448568,42442291,40.7289809,-74.0093502,40.7260808,-74.0099015,325.7590350944997
6396,42448568,42448570,40.7289809,-74.0093502,40.7291112,-74.0105554,102.63792280108476
6397,42448570,246857084,40.7291112,-74.0105554,40.7291341,-74.0107672,18.03745098180424
6398,42448570,42440532,40.7291112,-74.0105554,40.7298231,-74.0104777,79.42174152982156
6399,42448578,42429840,40.706379,-74.009502,40.706953,-74.008996,76.76207440991013
6400,42448578,2824895141,40.706379,-74.009502,40.7060194,-74.0088308,69.28677863698178
6401,42448583,42454795,40.7079881,-74.0080159,40.709044,-74.008893,138.74187379224466
6402,42448583,6262915547,40.7079881,-74.0080159,40.7083571,-74.0076525,51.20265773147167
